query_0,query_half,query_1
"""As a beginner, I'm looking for an 8-week program to build muscle, with a particular focus on my chest and back. I can commit to 4 gym sessions per week, each lasting 45-60 minutes, and have access to a well-equipped gym with barbells, dumbbells, and machines.""","""I'm a beginner looking for an 8-week program to build muscle, with a strong focus on my chest and back. I can commit to working out 4 days a week for about an hour per session and have access to a fully equipped gym with barbells, dumbbells, and machines.""","""As a beginner, I'm looking for an 8-week program to build muscle, specifically focusing on my chest and back. I can commit to 4 days a week for 45-60 minute sessions, and have access to a gym with barbells, dumbbells, and machines. I need a clear plan to guide my initial strength training journey."""
"""As a beginner woman, I'm looking for a 6-week program to build muscle and strength, specifically targeting my back and shoulders. I can commit to two 45-60 minute workouts per week and only have access to dumbbells.""","""As a beginner woman, I'm looking for a 6-week program to build muscle and strength, specifically targeting my back and shoulders. I can commit to two 45-60 minute workouts per week and only have access to dumbbells and my bodyweight.""","I'm a beginner woman looking to build muscle, specifically targeting my back and shoulders, over the next 6 weeks. I need a program that fits into two 45-60 minute sessions per week and can be done with just bodyweight and dumbbells at home."
"""I'm an intermediate lifter seeking an 8-week program to significantly build muscle, specifically targeting a wider back and V-taper. I can commit to two 60-90 minute gym sessions per week and have access to barbells, dumbbells, cables, and bodyweight equipment. I'm looking for a heavy, high-volume approach to maximize my back development.""","""I'm an intermediate lifter focused on building muscle, specifically aiming for an impressive V-taper and a stronger back. I need an 8-week program that fits into just two 60-90 minute sessions per week, as I have limited gym time, but I do have access to a full range of equipment including barbells, dumbbells, and cables.""","""I'm an intermediate lifter seeking an 8-week program specifically designed to build significant back muscle and achieve an impressive V-taper. My schedule only allows for two 60-90 minute workouts per week, and I have access to a fully equipped gym with barbells, dumbbells, cables, and bodyweight options. I'm ready for a heavy, high-volume approach to transform my back."""
"""I'm a complete beginner looking to build muscle and get comfortable with gym equipment. I need a structured 12-week full-body program that I can consistently do 3 days a week, with each workout lasting only 30-45 minutes, as I have limited time.""","""I'm a complete beginner aiming to build muscle and need a structured 12-week program that fits my busy schedule. I can commit to 3 days a week, with each workout lasting 30-45 minutes, and I have access to a gym with barbells, dumbbells, cables, and machines.""","""I'm a complete beginner looking to build muscle and get comfortable using various gym equipment. I need a structured 12-week program that fits into my busy schedule, allowing me to train just 3 days a week with each workout lasting under 45 minutes."""
"""I'm a beginner looking to build muscle over the next 8 weeks. I can commit to working out 4 days a week for about an hour per session, and specifically need a program that utilizes the machines and dumbbells found at Planet Fitness.""","""As a beginner, I'm looking for an 8-week program to help me build muscle effectively. I can commit to working out 4 days a week, with each session lasting between 45-70 minutes, and specifically need a plan that uses the machines and dumbbells commonly found at Planet Fitness.""","""I'm a beginner looking to build muscle over the next 8 weeks and need a structured plan. I train at Planet Fitness, so I'm looking for a 4-day-a-week program, about 45-70 minutes per session, that uses mostly their machines and dumbbells."""
"""I'm a complete beginner looking to improve my general fitness and build a good foundation. I need a short, manageable program, ideally around 4 weeks, that I can do at home with no equipment for about 15-30 minutes, 3 days a week.""","""I'm a complete beginner looking to improve my general fitness and build a solid foundation. I need a short, 4-week program that I can easily do at home with no equipment, ideally just 3 days a week for 15-30 minutes per session.""","""I'm a complete beginner looking to establish a basic fitness routine for general health. I need a short, accessible program I can do at home without any equipment, ideally fitting into just 15-30 minutes, three days a week."""
"""I'm a beginner looking for a quick and effective warm-up routine to prepare for my main workouts and improve my general fitness. I only have about 15 minutes to dedicate before I start, and I have access to various gym equipment like bands, barbells, and kettlebells.""","""I'm a beginner looking for quick and effective warm-up routines to improve my general fitness and prevent injuries before my main workouts. I only have about 15 minutes to spare, and I need something versatile that I can do with common gym equipment like bands, kettlebells, or even just my bodyweight.""","""I'm a fitness beginner looking to improve my general fitness, but I often feel unprepared for my workouts. I need a quick, versatile routine that's about 15 minutes long to properly warm me up for various exercises, ideally not requiring extensive or specific equipment."""
"""As a beginner, I'm looking for a structured 12-week program to significantly increase my bench press strength. I can commit to 3 gym sessions per week, each lasting 45-60 minutes, and have access to a full gym with barbells, dumbbells, and machines.""","I'm a beginner lifter who feels my bench press is stuck and I really want to get stronger. I'm looking for a structured 12-week program that I can do 3 days a week, fitting into 45-60 minute sessions at a gym with standard equipment.","""I'm a beginner looking for a focused program to significantly increase my strength, especially my bench press. I can commit 3 days a week for about an hour per session and have access to a gym with standard barbells, dumbbells, and machines."""
"""I'm an intermediate lifter focused on building a solid, muscular chest and need an intense, effective routine. I can dedicate about an hour once a week to this workout and have access to a well-equipped gym with barbells, dumbbells, and cables.""","""As an intermediate lifter, I'm aiming to build significant chest muscle over an 8-week period. My main constraint is that I can only dedicate one day a week for about 45-60 minutes to this specific workout. I have access to a well-equipped gym with barbells, dumbbells, and cables.""","""I'm an intermediate lifter focused on building a stronger, more defined chest. I need an intense, effective chest workout that I can dedicate about 45-60 minutes to once a week, ideally something I can follow for 8 weeks using common gym equipment to maximize my gains."""
"""As an intermediate male lifter, I'm really frustrated with my chest not growing despite my efforts, feeling like I've hit a plateau. I'm looking for an intense 8-week program specifically designed to build a bigger chest, but I can only dedicate one day a week for 45-60 minutes at a gym with full equipment.""","""I'm an intermediate male lifter who's hit a plateau and is tired of my chest not growing, so I'm looking for an effective 8-week program to build significant muscle. I can commit one day a week for 45-60 minutes and have access to a full gym with barbells, cables, dumbbells, and machines.""","""As an intermediate male lifter, I'm really frustrated with my chest development and feel like I've hit a plateau despite consistent effort. I'm looking for an intensive, focused 8-week program to shatter this plateau and build a much more colossal chest, which I can dedicate one day a week to for 45-60 minutes at my well-equipped gym."""
"""I'm a complete beginner looking to finally lose fat and get into a consistent routine. I can commit to working out 4 days a week for the next 8 weeks and have access to a full gym with barbells, dumbbells, cables, and machines.""","""I'm a complete beginner looking for a structured plan to help me lose fat and get started with fitness. I can commit to working out 4 days a week for the next eight weeks and have access to a full gym with various equipment like barbells, dumbbells, and machines.""","""I'm a complete beginner who wants to lose fat and needs a structured plan to get started. I can commit to working out 4 days a week for the next eight weeks and have access to a gym with barbells, dumbbells, cables, and machines."""
"""I'm a beginner female looking for an 8-week workout plan to help me effectively lose fat. I can commit to exercising 4 days a week and have access to a well-equipped gym with barbells, dumbbells, machines, and cables.""","""I'm a beginner woman looking for an effective 8-week workout plan to help me lose fat. I can commit to exercising 4 days a week and have access to a gym with barbells, dumbbells, cables, and machines.""","""As a beginner woman, my main goal is to lose fat and finally get into a consistent workout routine. I'm seeking an 8-week plan I can commit to 4 days a week, and I have access to a full gym with barbells, dumbbells, cables, and machines."""
"""As a beginner, I'm looking for a structured 12-week program to help me get ripped, focusing on both fat loss and building muscle. I can commit to 4 days a week, with workouts lasting 30-45 minutes, and have access to a well-equipped gym with barbells, dumbbells, cables, and kettlebells.""","""As a beginner, my primary goal is to get ripped and achieve significant fat loss within the next 12 weeks. I'm looking for a comprehensive program that includes a detailed diet and cardio schedule, with gym workouts around 4 days a week, lasting 30-45 minutes. I have access to a full gym with barbells, dumbbells, cables, and kettlebells.""","""As a beginner, my main goal is to get ripped and significantly reduce body fat over 12 weeks, ideally building some muscle along the way. I need a comprehensive program that includes a diet and cardio schedule, and I can commit to 4 gym sessions per week, each lasting 30-45 minutes, using barbells, dumbbells, cables, and kettlebells."""
"""I'm an advanced lifter who's ready to transition from a bulk and really dial in my physique for summer. I need an intense 8-week fat loss program that I can commit to 5 days a week for about an hour, and I have full access to a well-equipped gym.""","""I'm an advanced lifter seeking an intensive 8-week program to significantly cut body fat and get shredded for summer. I have access to a fully equipped gym and can commit to five 45-60 minute workouts per week.""","""I'm an advanced lifter ready to commit to an intense 8-week fat loss program, aiming to get shredded for summer. I have full access to a well-equipped gym and can dedicate 5 days a week to efficient 45-60 minute workouts."""
"""I'm a beginner looking to get back into general fitness after an extended break from the gym. I need a structured, short-term plan, ideally around 2 weeks with 4 one-hour sessions per week, and I have access to a full range of gym equipment.""","""I'm a beginner looking for a short, effective workout plan to help me get back into the swing of things after an extended break from the gym. I have full gym access and can commit to 4 one-hour sessions a week for about two weeks to jumpstart my general fitness.""","""I'm looking for a beginner-friendly gym workout to help me ease back into training after an extended break. I can commit to 4 days a week for about an hour per session, and I have access to a full gym with barbells, dumbbells, cables, and machines. My main goal is to simply jumpstart my general fitness and get reacquainted with the gym routine."""
"""I'm a beginner looking to build muscle and need a structured 8-week full-body workout plan. I can commit to 3 days a week for about an hour per session, and it's crucial that the exercises are suitable for the equipment available at Planet Fitness.""","""I'm a beginner looking to build muscle over the next 8 weeks and can commit to working out 3 days a week for about an hour per session. I specifically need a full-body plan that utilizes the equipment commonly found at Planet Fitness.""","""I'm a beginner looking to build muscle and need an accessible 8-week plan I can follow 3 days a week, each session lasting about an hour. I specifically need a full-body workout that utilizes common equipment found at gyms like Planet Fitness."""
