pdf_path,tables,Main Goal,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment,Author,Description,Target Gender
./samples/back/8weekchestback.pdf,"Monday - Back & Chest
Exercise Sets Reps
Workout #1
Deadlifts 3 3
Bench Press 3 5
Pendlay Rows 3 8 - 10
Incline Dumbbell Bench Press 3 8 - 10
One Arm Dumbbell Rows 2 20 - 25
Dips 3 AMAP*
Barbell Shrugs 3 12 - 15
*As Many As Possible
Thursday - Back & Chest
Exercise Sets Reps
Workout #2
Pull Ups or Inverted Rows (Rest - Pause) 6 AMAP*
Machine Chest Press (Rest - Pause) 6 8 - 12
Lat Pull Downs (Rest - Pause) 6 8 - 12
Dumbbell Flye or Pec Dec (Rest - Pause) 6 8 - 12
Dumbbell Shrugs (Rest - Pause) 6 10
*As Many As Possible
Saturday - Shoulders & Arms
Exercise Sets Reps
Shoulders, Biceps and Triceps
Seated Overhead Press 4 8 - 12
Upright Row or Seated Dumbbell Press 3 8 - 12
Side Lateral Raise Superset with
Bent Over Reverse Flye3 10 - 15
Dumbbell Curl 3 8 - 12
Skullcrushers 3 8 - 12
EZ Bar Preacher Curl 3 10 - 12
Cable Tricep Extensions 3 10 - 12Friday - Legs
Exercise Sets Reps
Quads, Hammies and Calves
Squats 4 6 - 12
Hack Squat or Dumbbell Lunges 3 8 - 12
Leg Extensions or Leg Press 3 12 - 15
Stiff Leg Deadlift 3 8 - 10
Leg Curls 4 12 - 15
Seated Calf Raise 4 12 - 20",Build Muscle,Beginner,8 Weeks,4 Days,45-60 Mins,"Barbell, Bodyweight, 
Dumbbells, Machines",Steve Shaw,"This back and chest specialization workout is 
performed 2 days per week and combines a day of heavy compound movements along with a second rest-pause day.
Link to Workout : https://www.muscleandstrength.com/work -
outs/8-week-chest-back-workout-routine8 WEEK CHEST AND BACK
SPECIALIZATION WORKOUT ROUTINE",
./samples/back/backandshoulderwomen.pdf,"Workout Routine for Women
Exercise Sets Reps
Back & Shoulders
Dumbbell Shoulder Press 3 12
Dumbbell Upright Row 3 12
Bent Over Dumbbell Row 3 12
Side Lateral Raise 3 6-10
Push Ups 3 Failure
Pull Ups 3 Failure",Build Muscle,Beginner,6 Weeks,2 Days,45-60 Mins,"Bodyweight,   
Dumbbells",Holly Blumenberg,"BACK & SHOULDER WORKOUT ROUTINE 
FOR WOMEN
This upper body workout will help women build 
shoulder and back development and strength. It requires only a set of dumbbells.
Link to Workout : https://www.muscleandstrength.com/
workouts/back-shoulder-workout-routine-women",
./samples/back/cobraworkout.pdf,"Monday: Super Thick Workout
Exercise Sets Reps
Deadlift 5 3
Superset
Rack Pulls 5 3
Weighted V - Bar Pull Ups 5 5
T - Bar Row 5 10, 8, 5, 5, 3
Triset
Iso-Dumbbell Rows 3 6 Each Arm (Pause at Top)
Standing Dumbbell Row 3 5 Each Side
Farmer’s Walk 3 100 Ft
Reverse Hyperextension 3 10 (No Weight, Pause at Top)
Thursday: Airplane Wing “Lat Attack”
Exercise Sets Reps
Superset
Wide Grip Lat Pulldowns 10 10*
Seated Row 10 20*
Superset
Barbell Row 4 5
Straight Arm Pulldowns 4 8
Superset
Wide Grip Pull Ups 10 10**
Barbell Shrugs 10 10
Barbell Rollouts 1 50
*Lower Pulldowns by 1 rep and lower Seated Rows by 2 reps (i.e. 10 & 20, 9 & 18, 8 & 16, etc.) after each set.
** Alter rep count if unable to perform 10 strict reps for Pull Ups.",Build Muscle,Intermediate,8 Weeks,2 Days,60-90 Mins,"Barbell, Bodyweight,
Cables, Dumbbells",Coach Dustin Myers,"THE COBRA WORKOUT: 
HEAVY HIGH VOLUME BACK PROGRAM
Want to look like a cobra? Build an impressive 
V-taper with two great workouts; a high intensity day to begin the week & some serious volume to end it!
Link to Workout : https://www.muscleandstrength.com/
workouts/cobra-back-workout",
./samples/begineer/12weekfullbodyworkoutroutineforbeginners.pdf,"Weeks 1-3: Total Body Circuit Workout
During the first three weeks, do each exercise for one set of 15 reps. Rest 60-90 seconds 
between sets.
Exercise Sets Reps
Leg Press 1 15
Lying Leg Curl 1 15
Seated Cable Curl 1 15
Flat Bench Press 1 15
Dumbbell Press 1 15
Dumbbell Shrug 1 15
Tricep Pushdown 1 15
Barbell Curl 1 15
Back Extension 1 15
Standing Calf Raise 1 15
Barbell Wrist Curl 1 15
Crunches 1 15
Weeks 4-6: Total Body Circuit Workout
Use a slightly heavier weight than you used in weeks 1-3. Rest 60-90 seconds between sets.
Exercise Sets Reps
Leg Press 2 12
Lying Leg Curl 2 12
Seated Cable Row 2 12
Flat Bench Press 2 12
Dumbbell Press 2 12
Dumbbell Shrug 2 12
Tricep Pushdown 2 12
Barbell Curl 2 12
Back Extension 2 12
Standing Calf Raise 2 12
Barbell Wrist Curl 2 12
Crunches 2 12
Weeks 7-12: Upper/Lower Split w/ Increased 
Intensity
Alternate between the following 2 exercise routines for three non-consecutive days per week 
(i.e. M/W/F). Rest 60-90 seconds between sets.
Workout 1: Upper Body
Exercise Sets Reps
Flat Dumbbell Press 2 10 - 12
Pec Deck Fly 1 10 - 12
Single Arm Dumbbell Row 2 10 - 12
Seated Cable Row 1 10 - 12
Seated Dumbbell Press 2 10 - 12
Dumbbell Lateral Raise 1 10 - 12
Dumbbell Shrug 2 10 - 15
Tricep Pushdown 2 10 - 15
Barbell Curl 2 10 - 12
Barbell Wrist Curl 2 10 - 12
Workout 2: Lower Body
Exercise Sets Reps
Smith Machine Squats 1 8 - 12
Leg Extension 1 10 - 12
Lying Leg Curl 1 10 - 12
Back Extension 1 20 - 30
Standing Calf Raise 1 12 - 15
Crunches 2 15 - 40
Reverse Crunch 2 15 - 30",Build Muscle,Beginner,12 Weeks,3 Day,30-45 Mins,"Barbell, Bodyweight, 
Cables, Dumbbells, Machines",Doug Lawrenson,"12 WEEK FULL BODY WORKOUT 
ROUTINE FOR BEGINNERS
A 12 week full body beginner workout routine 
designed to introduce you to a range of gym 
equipment and basic bodybuilding exercises 
in under 60 minutes.
Link to Workout : https://www.muscleandstrength.com/
workouts/12-week-beginners-training-routine.html",Male & Female
./samples/begineer/4dayupperlowerplantfitnessworkout_0.pdf,"Planet Fitness Upper Body Workout A
Exercise Sets Reps
1. Dumbbell Bench Press 4 8 - 12
2. Machine Chest Fly 3 10 - 15
3. Dumbbell Row 4 8 - 12
4. Lat Pull Down 4 8 - 12
5. Machine Shoulder Press 4 8 - 12
6. Dumbbell Lateral Raise 3 10 - 15
7. Machine Tricep Dip 2 8 - 12
8. Cable Curl 2 10 - 15
Planet Fitness Lower Body Workout A
Exercise Sets Reps
1. Leg Press 4 8 - 12
2. Dumbbell Stiff Leg Deadlift 4 8 - 12
3. Leg Extension 3 12 - 15
4. Leg Curl 3 12 - 15
5. Machine Glute Kickback 3 12 - 15
6. Standing Calf Raise 3 20
Planet Fitness Upper Body Workout B
Exercise Sets Reps
1. Seated Dumbbell Press 4 8 - 12
2. Cable Face Pull 3 10 - 15
3. Smith Machine Row 4 8 - 12
4. Machine Pull Up 4 8 - 12
5. Incline Dumbbell Press 4 8 - 12
6. Cable Fly 3 10 - 15
7. Dumbbell Curl 2 8 - 12
8. Skullcrusher 2 8 - 12
Planet Fitness Lower Body Workout B
Exercise Sets Reps
1. Goblet Squat 4 8 -12
2. Smith Machine Hip Thrust 4 8 - 12
3. Dumbbell Deadlift 4 8 - 12
4. Dumbbell Lunge 3 10 - 15 Each
5. Seated Leg Curl 3 10 - 15
6. Seated Calf Raise 3 20",Build Muscle,Beginner,8 Weeks,4 Days,45 - 70 Mins,"Bodyweight, Cables, 
Dumbbells, EZ Bar, Machines",Josh England,"4 DAY UPPER/LOWER PLANET FITNESS
WORKOUT (MACHINE & DUMBBELL ONLY)
In this edition of a series of Planet Fitness 
appropriate workouts, we provide a upper/
lower workout one could do with equipment at 
Planet Fitness. 
Link to Workout : https://www.muscleandstrength.com/
workouts/4-day-upper-lower-planet-fitness-workout",Male & Female
./samples/begineer/bodyweightbasics.pdf,"Day 1: Upper Body
Exercise Sets Reps
Pull Ups 3 Failure
Inverted Row 3 10 - 12
Dips 3 Failure
Feet Elevated Push up 3 15
Day 2: Lower Body
Exercise Sets Reps
Squat Jumps 3 30 Secs
Walking Lunge 3 20 Each Leg
Bodyweight Calf Raises 3 Failure
Day 3: Core
Exercise Sets Reps
Full Sit Up 3 15
Lying Leg Raise 3 15
Oblique Crunch 3 20
Bicycle 3 30 Secs
Plank 3 Failure",General Fitness,Beginner,4 Weeks,3 Days,15-30 Mins,Bodyweight,Roger “Rock” Lockridge,"BODYWEIGHT BASICS: 
3 DAY BODYWEIGHT WORKOUT PLAN
Just starting off or need a break from the 
weights? This 3 day bodyweight workout routine covers all the basics and will provide you with a good foundation.
Link to Workout : https://www.muscleandstrength.com/
workouts/bodyweight-basics-3-day-workout",
./samples/begineer/thebest15minutewarmups.pdf,"Exercise Sets Reps/Time Rest
Fast-Paced Walk 1 3 Min 30 - 45 Sec
Plantar Fascia w/ Lacrosse Ball 1 15 Sec, Each Foot 30 - 45 Sec
Donkey Calf Raise 1 15 30 - 45 Sec
Dumbbell Goblet Squat 1 15 30 - 45 Sec
Bodyweight Walking Lunge 1 10, Each Leg 30 - 45 Sec
Side Plank 1 30 Sec, Each Side 30 - 45 Sec
Plyometric Push Up 1 15 30 - 45 Sec
Rack Lat Stretch 1 30 Sec 30 - 45 Sec
Exercise Sets Reps/Time Rest
Fast-Paced Walk 1 3 Min 30 - 45 Sec
Bodyweight Standing Calf Raise 1 15 30 - 45 Sec
IT Band Foam Roller 1 30 Sec, Each Side 30 - 45 Sec
Bodyweight Single-Leg Deadlift 1 15, Each Side 30 - 45 Sec
Prisoner Squat 1 15 30 - 45 Sec
Prisoner Squat (Hold at the Bottom) 1 30 Sec 30 - 45 Sec
Superman 1 30 Sec 30 - 45 Sec
Plank 1 30 Sec 30 - 45 Sec
Band Pull-Apart 1 15 30 - 45 Sec
Exercise Sets Reps/Time Rest
Fast-Paced Walk 1 3 Min 30 - 45 Sec
Push Up 1 15 30 - 45 Sec
Bench Dips 1 15 30 - 45 Sec
Arm Circles (Clockwise) 1 15 None
Arm Circles (Counter Clockwise) 1 15 30 - 45 Sec
Eccentric Only Pull Up 1 5 30 - 45 Sec
Seated Zottman Curl 1 15 30 - 45 Sec
90/90 Hip Crossover 1 15, Each Side 30 - 45 Sec
Sit Up 1 15 30 - 45 Sec
Jump Squat 1 15 30 - 45 Sec",General Fitness,Beginner,,,15 Mins,"Bands, Barbell, 
Bodyweight, Foam Roll, Kettle 
Bells, Other","Roger “Rock” Lockridge
Full-Body Focused Warm-Up
Lower Body Focused Warm-Up
Upper Body Focused Warm-Up","THE BEST 15-MINUTE WARM-UPS
Maximize your workout with these versatile 
and quick warm-up routines! In just 15 
minutes, you will be better prepared for any 
workout program that you take on.
Link to Workout : https://www.muscleandstrength.com/
workouts/the-best-15-minute-warm-up",Male & Female
./samples/chest/12weekstoabiggerbenchpress.pdf,"Monday
Exercise Sets Reps
Bench Press 3 See Notes
Close Grip Bench Press or Paused Bench Press 3 8
Dumbbell Skullcrusher or Tricep Extensions 3 8*
Please see the article for information on Bench Press rep cycle. *If you perform Tricep Extensions, do 20 reps.
Wednesday
Exercise Sets Reps
Barbell Rows or Military Press 3 6
Pull Ups or One Arm Dumbbell Rows 3 5 - 10*
Military Press or Lat Pulldowns 3 8**
*If you perform One Arm Dumbbell Rows, do 10 reps. **If you perform Lat Pulldowns, do 10 reps.
Friday
Exercise Sets Reps
Paused Bench Press or Close Grip Bench Press 3 10
Dumbbell Bench Press or 
Incline Dumbbell Bench Press3 20
Tricep Extensions or Dumbbell Skullcrushers 3 20",Increase Strength,Beginner,12 Weeks,3 Days,45-60 Mins,"Barbell, Bodyweight, 
Dumbbells, EZ Bar, Machine",Jonathan Byrd,"How much do you bench? If you feel it’s never 
enough, then this 12 week specialization cycle is for you. Give this program a try and beef up your bench in no time.
Link to Workout : https://www.muscleandstrength.com/
workouts/12-week-build-bigger-bench12 WEEKS TO A BIGGER BENCH PRESS",
./samples/chest/bestchestworkout.pdf,"The Stretch & Push Workout
Exercise Sets Reps Rest
Incline Dumbbell Fly 3 8 - 10 90 Secs
Incline Barbell Bench Press 3 8 - 10 90 Secs
Flat Cable Fly 3 10 - 12 90 Secs
Flat Dumbbell Bench Press 3 10 - 12 90 Secs
Cable Crossover 3 12 60 Secs
Chest Dip 2 AMRAP 60 Secs
AMRAP: As Many Reps As Possible",Build Muscle,Intermediate,8 Weeks,1 Day,45-60 Mins,"Barbell, Bodyweight,
Cables, Dumbbells",Roger “Rock” Lockridge,"BEST CHEST WORKOUT: THE PUSH & 
STRETCH METHOD FOR KILLER CHEST GAINS
Designed to work your chest thoroughly and 
intensely, the Push & Stretch Method is a killer chest workout routine that will help you effectively develop a solid chest!
Link to Workout : https://www.muscleandstrength.com/
workouts/best-chest-workout-push-stretch-method",
./samples/chest/pecpounder8weekchestworkouttoshatteryourplateau_0.pdf,"The Hybrid PRRS™ Method
Exercise Tempo Sets Reps
Flat DB Press 6/1/X 3 4 - 6
Superset:
A1. Incline DB Fly 2/1/1 3 10 - 12
A2. Weighted Dips 2/1/1 3 7 - 9
Incline Smith Press 2/0/1 3 16 - 20, 13 - 15, 10 -12
*Rest for one minute between supersets
The High/Low Rep Method
Exercise Tempo Sets Reps
Leverage Chest Press 2/0/1 3 16 - 20
BB Incline Press 4/1/X 3 6 - 8
Low Cable Crossover 2/1/1 3 16 - 20
Weighted Dips 4/0/X 3 6 - 8
The SPEC™ Method
Exercise Tempo Sets Reps
Incline DB Fly 2/4/1 3 7 - 9
Cable Crossover 2/4/1 3 7 - 9
Bench Press 4/1/1 3 7 - 9
Hammer Machine Incline Press 2/4/1 3 7 - 9
The SHOCK Method
Exercise Tempo Sets Reps
Superset:
A1. Bench Press 3/0/X 2 7 - 9
A2. Flat DB Fly 2/2/1 2 7 - 9
Hammer Machine Incline Press 3/1/1 2 7 - 9, 4 - 6*
Superset:
B1. Incline DB Fly 3/1/1 2 7 - 9
B2. Decline DB Press 2/1/X 2 7 - 9
Weighted Dips 3/1/2 2 7 - 9, 4 - 6*
*Dropset
**Rest for one minute between supersets",Build Muscle,Intermediate,8 Weeks,1 Day,45-60 Mins,"Barbell, Cables, 
Dumbbells, Machines",Eric Broser,"PEC-POUNDER: 8 WEEK CHEST WORKOUT 
TO SHATTER YOUR PLATEAU
Tired of hitting bench press every Monday 
and not seeing the results you want? Alternate 
these workouts into your routine to grow your 
chest into the colossal chest you’ve been 
chasing after.
Link to Workout : https://www.muscleandstrength.com/
workouts/8-week-pec-pounder",Male
